t,p_x,p_y,p_z
11.36,11.172091590492473,-0.5280992007061693,4.696059930780812
11.4,11.221474688806746,-0.5390377298997806,4.694445470259408
11.44,11.271954130396884,-0.5458402970818682,4.6925550287230715
11.48,11.323410280673452,-0.5488470029887348,4.69047745963368
11.52,11.375702973247039,-0.5484394732782485,4.68830532239597
11.56,11.428681784525542,-0.545016901636005,4.686123196369481
11.6,11.482184910015212,-0.5389893661141862,4.6840064874392215
11.64,11.536053770892982,-0.5307688033956077,4.682021944653786
11.68,11.59013626945242,-0.5207540461870336,4.680221894442164
11.72,11.644281481291182,-0.5093243071544543,4.678592978535056
11.76,11.698321128917154,-0.4965597988068162,4.677112919122828
11.8,11.75207742285037,-0.4821734988316136,4.675755129826015
11.84,11.805401048301592,-0.46602564759191734,4.674506987501804
11.88,11.858154192276764,-0.4479913855023194,4.6733539296968125
11.92,11.9102238036548,-0.4280412982656079,4.672291356405123
11.96,11.961511662022358,-0.4061521208220142,4.671315269681032
12.0,12.011939571231741,-0.38236311442324694,4.6704306630515156
12.040000000000001,12.061449759266022,-0.3567126247696764,4.6696425798419705
12.08,12.11001249538035,-0.3292771616496584,4.668961705951589
12.120000000000001,12.157615122527405,-0.3001298136591165,4.668398558206295
12.16,12.204265682428714,-0.2693718660731456,4.667965796098056
12.200000000000001,12.249986774863897,-0.2370954423285417,4.667676111494837
12.24,12.29482426024369,-0.20340276675097174,4.667544261468334
12.280000000000001,12.338833577705485,-0.16838351637132792,4.667581820819246
12.32,12.382079147811524,-0.13213131523943908,4.667799902494868
12.36,12.424627570513337,-0.09472563658967366,4.668207204387982
12.4,12.466541079792627,-0.05624137785959289,4.668810805927944
12.44,12.50787775796974,-0.016737149351676885,4.669616615100626
12.48,12.548696801243196,0.02373238634026083,4.6706290447885035
12.52,12.589053901656504,0.06512180193597865,4.671908822466044
12.56,12.629056965081425,0.10702959557140816,4.673508608843577
12.6,12.668881989853329,0.14862286076470993,4.675433958863677
12.64,12.708667182674429,0.1893030467515229,4.677667588623182
12.68,12.748534497684457,0.2285548842159161,4.680168012034798
12.72,12.788572947013602,0.2660366897120194,4.68289844808266
12.76,12.828853404574454,0.3012935764879395,4.685795370869616
12.8,12.869412702178272,0.3337804338343684,4.688771661767349
12.84,12.910267752916813,0.3631312147477795,4.6917560091698505
12.88,12.951420121508622,0.3891097494976586,4.6946909980729945
12.92,12.992861842760316,0.4116137286409426,4.697542681410513
12.96,13.034563959119563,0.43065206380481813,4.700303429712814
13.0,13.076488617457203,0.4463320039342721,4.7029880040271115
13.040000000000001,13.1185876783249,0.4588175828580961,4.705622263380514
13.08,13.160813720983315,0.4683309687961162,4.7082418919897435
13.120000000000001,13.203115320637263,0.4751331100756944,4.710886080240967
13.16,13.245440870718555,0.47951069622079545,4.713593456389902
13.200000000000001,13.287733224145173,0.4817616948242642,4.716400587034163
13.24,13.329924372950998,0.4821985624654601,4.719340334544827
13.280000000000001,13.371943114028303,0.481124778848106,4.7224371066688615
13.32,13.413720654044194,0.47883543030839565,4.725710327285494
13.36,13.455191737575047,0.4756098677115708,4.729173896397954
13.4,13.496289963461084,0.4717038731157518,4.732836258568112
13.44,13.5369517009963,0.4673456927041816,4.7367011058343165
13.48,13.577106464412047,0.4627460546022502,4.7407675477690425
13.52,13.616687290103906,0.45808785842664784,4.745030367787514
13.56,13.65564786828891,0.4535289912596816,4.749435411084207
13.6,13.693939405841503,0.4489295425143668,4.753948679779969
13.64,13.731512265990135,0.4437859216263067,4.758554600275756
13.68,13.768340827536852,0.4377252333704846,4.7632354382066655
13.72,13.804411619956898,0.4304057640069671,4.767964831819022
13.76,13.839723578029066,0.4215893414546242,4.772721715202342
13.8,13.87428618313682,0.4110624008987871,4.77748223268027
13.84,13.90812477590999,0.39868943994619227,4.782229367988982
13.88,13.941276495767449,0.384350554754847,4.786947060951014
13.92,13.973788486581816,0.36798976910561704,4.791627447917916
13.96,14.005710891689803,0.3495740376463328,4.7962659173384825
14.0,14.037093980757886,0.3291202825569565,4.800864269875683
14.040000000000001,14.067984949874042,0.30666119312338824,4.805426044473295
14.08,14.098431463225024,0.28226545043864504,4.80995880896638
14.120000000000001,14.128480091452353,0.25601580497600285,4.814471651656219
14.16,14.15817987548656,0.22801596703567756,4.818975928700689
14.200000000000001,14.187566645186804,0.19837237770215937,4.823482556553673
14.24,14.21666017659238,0.16720621806526084,4.82800473176859
14.280000000000001,14.245471559157231,0.1346481954400751,4.832554136321656
14.32,14.274008119511267,0.10083486750986285,4.837140321309834
14.36,14.302278756876916,0.06588939889789888,4.8417699037709205
14.4,14.330292583230111,0.029926338871134855,4.846449191575437
14.44,14.35806200795505,-0.006947857300613818,4.851182490356913
14.48,14.385616550450454,-0.04449120007265714,4.853543651396381
